0,1,2,3,4,5,6,7,8,9
0.8591989,0.8591989,0.82702637,0.8743961,0.8526664,0.8743961,0.82702637,0.8743961,0.82702637,0.8743961
0.975893,0.975893,0.8302497,0.8301611,1.0000001,0.8301611,0.8302497,0.8301611,0.8302497,0.8301611
0.9999996,0.9999996,0.8599238,0.85240966,0.975893,0.85240966,0.8599238,0.85240966,0.8599238,0.85240966
0.85240966,0.85240966,0.8339008,1.0000001,0.8301611,1.0000001,0.8339008,1.0000001,0.8339008,1.0000001
0.8591989,0.8591989,0.82702637,0.8743961,0.8526664,0.8743961,0.82702637,0.8743961,0.82702637,0.8743961
0.9999996,0.9999996,0.8599238,0.85240966,0.975893,0.85240966,0.8599238,0.85240966,0.8599238,0.85240966
0.7995587,0.7995587,0.7275693,0.82613784,0.8065589,0.82613784,0.7275693,0.82613784,0.7275693,0.82613784
0.85240966,0.85240966,0.8339008,1.0000001,0.8301611,1.0000001,0.8339008,1.0000001,0.8339008,1.0000001
0.8591989,0.8591989,0.82702637,0.8743961,0.8526664,0.8743961,0.82702637,0.8743961,0.82702637,0.8743961
0.85240966,0.85240966,0.8339008,1.0000001,0.8301611,1.0000001,0.8339008,1.0000001,0.8339008,1.0000001
0.8591989,0.8591989,0.82702637,0.8743961,0.8526664,0.8743961,0.82702637,0.8743961,0.82702637,0.8743961
0.86188567,0.86188567,0.8148899,0.8936367,0.84011555,0.8936367,0.8148899,0.8936367,0.8148899,0.8936367
